feature,family,lowest_tier,deployable,missing_pct_all,missing_pct_test,n_unique,std,constant,corr_with_target,max_abs_corr_other,most_correlated_with
dow,calendar,static_only,True,0.0,0.0,7,1.9950175357795854,False,-0.02368386210859143,0.0495501725366662,co_column
doy_cos,calendar,static_only,True,0.0,0.0,366,0.709240633480748,False,0.39726212046697296,0.9000128677163821,is_heating_season
doy_sin,calendar,static_only,True,0.0,0.0,366,0.7030257074147355,False,-0.07122034365007655,0.7724968599968023,month
is_heating_season,calendar,static_only,True,0.0,0.0,2,0.4989459084173555,False,0.33354213416665013,0.9000128677163821,doy_cos
month,calendar,static_only,True,0.0,0.0,12,3.5657261140787218,False,0.05942973226426008,0.7724968599968023,doy_sin
cams_pm25_forecast,cams_forecast,deployable,True,14.699939381693273,0.0,8440,14.765208085381149,False,0.13189796362883566,0.21900070086994428,absorbing_aerosol_index
absorbing_aerosol_index,satellite,deployable,True,31.713477470196,15.808491418247517,6759,0.7986554240575147,False,-0.0870370365643557,0.3813027651709358,aod_055_valid_px
aod_055,satellite,retrospective,False,57.41563952313599,50.6323396567299,4200,0.10153302622666444,False,0.18601485806842516,0.38162481138126503,aod_055_valid_px
co_column,satellite,retrospective,False,44.827237825823396,34.869015356820235,5461,0.004315741377340197,False,0.4302007873636879,0.46132058614336147,no2_tropospheric
no2_tropospheric,satellite,retrospective,False,51.818549201858964,41.32791327913279,4769,0.0001260849863742096,False,0.4359299779297198,0.46132058614336147,co_column
so2_column,satellite,retrospective,False,61.39624166498282,56.05239385727191,3821,0.0004997788595184034,False,0.24383855562195514,0.4355592412483196,doy_cos
absorbing_aerosol_index_valid_px,satellite_missingness,deployable,True,31.592240856738734,15.492321589882566,5,1.0103742727746987,False,-0.03747115710213254,0.48496824503962593,terrain_basin_index_100km
aod_055_valid_px,satellite_missingness,retrospective,False,31.592240856738734,15.492321589882566,54,23.815140283008454,False,-0.21007557156992224,0.7414747179737107,no2_tropospheric_valid_px
co_column_valid_px,satellite_missingness,retrospective,False,31.592240856738734,15.492321589882566,11,3.619401770443655,False,-0.016312632559791,0.5755656484412236,no2_tropospheric_valid_px
no2_tropospheric_valid_px,satellite_missingness,retrospective,False,31.592240856738734,15.492321589882566,11,4.034480324431937,False,-0.16253858612852073,0.7733405541181182,so2_column_valid_px
so2_column_valid_px,satellite_missingness,retrospective,False,31.592240856738734,15.492321589882566,11,4.279270676930759,False,-0.3018794951947056,0.7733405541181182,no2_tropospheric_valid_px
nbr_count,spatial_neighbour,spatial,True,0.0,0.0,7,1.2699985566752738,False,-0.04747708233471201,0.26586491960393027,terrain_basin_index_25km
nbr_idw,spatial_neighbour,spatial,True,3.7078197615679938,0.045167118337850046,9438,35.442554555919486,False,0.46980820052601535,0.8945390051093048,nbr_mean
nbr_mean,spatial_neighbour,spatial,True,3.7078197615679938,0.045167118337850046,8592,29.48416172034659,False,0.413910205245543,0.8945390051093048,nbr_idw
distance_to_aralkum,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,235.8292723900323,False,-0.012612050824417537,0.9240379205532742,elevation
elevation,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,250.6572039107832,False,-0.03695721691715788,0.9240379205532742,distance_to_aralkum
ghsl_population_density,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,7468.140912230135,False,-0.11610506046142641,0.6543996437185015,terrain_basin_index_25km
terrain_basin_index_100km,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,213.73634959314649,False,-0.005584146345845737,0.7629810117927517,terrain_basin_index_50km
terrain_basin_index_25km,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,152.21423464739263,False,0.08838959301902304,0.9688395585192485,terrain_basin_index_50km
terrain_basin_index_50km,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,274.4645929053078,False,0.10682204828723865,0.9688395585192485,terrain_basin_index_25km
viirs_nighttime_lights,static_geography,static_only,True,21.65083855324308,15.492321589882566,6,97.96281576951075,False,-0.17573378037126128,0.6508462725124246,ghsl_population_density
