feature,key,retrieval_pct,delta_median_pm25,mannwhitney_p,retrieval_worst_decile_pct,retrieval_dec_pct,retrieval_jul_pct,negative_retrieval_pct,target_correlated
S5P SO2,s5p_so2,57.38139411608799,10.287291666666668,1.554600872060723e-138,14.039735099337749,0.12706480304955528,90.95652173913044,29.769053117782914,True
MAIAC AOD,maiac_aod,62.93400477073946,5.556159420289855,1.3693047966547438e-44,38.145695364238414,36.975857687420586,91.13043478260869,0.0,True
S5P NO2,s5p_no2,70.73946461701564,3.3320981554677225,1.6805811327546758e-14,58.01324503311258,50.06353240152478,90.08695652173913,0.018733608092918696,True
S5P CO,s5p_co,81.08931884442089,2.625,7.206052906959078e-05,81.8543046357616,77.63659466327827,93.21739130434783,0.0,True
S5P AAI,s5p_aai,99.78796713490591,6.8004385964912295,0.7459661555891628,99.86754966887416,99.87293519695044,99.65217391304347,,False
