band,lo,hi,n,rmse,mae,bias,median_bias,r2,cams_rmse,cams_bias,share_of_rows
clean (<= 1x WHO),0.0,15.0,850,13.129038660535437,10.325802048693637,10.136921637133204,8.896346639430739,-12.469370521416135,18.837608249793266,17.96076613956127,0.3839205058717254
moderate (1-3x),15.0,45.0,872,13.345821555198008,9.290872624625635,1.3928412078701717,-0.3068884238907703,-1.6039924696211667,11.71431995953517,3.343609689210107,0.3938572719060524
high (3-6x),45.0,90.0,346,34.294503439697074,30.481996141623302,-26.771204746800912,-29.047601801565477,-6.367505805167601,35.12987000124566,-31.583424270621663,0.15627822944896116
extreme (> 6x),90.0,,146,100.92904386302318,91.05181385752161,-90.37085433424247,-84.36974290254531,-5.297985606881003,103.79568066262945,-95.29103093601361,0.06594399277326106
