fold,n,rmse_lgbm,rmse_cams,dm,p,better,sig
Almaty,345,15.304435360849517,23.245090143162837,-4.062634152675168,6.014920659347389e-05,a,True
Ashgabat,263,20.738650138276853,18.831754385843258,1.172635570560881,0.24200705278236057,b,False
Bishkek,334,20.20762934747506,20.028893882570493,0.15049024822924562,0.8804689581004626,b,False
Dushanbe,343,46.93809944916609,47.95555989277336,-2.64729381682569,0.008489410135824382,a,True
Khujand,592,38.80709242629791,39.901334913920735,-2.028113273032819,0.04299671035960673,a,True
Tashkent,337,25.461246156940497,28.62907610305213,-2.823175841758382,0.0050385012548401775,a,True
POOLED,2214,31.494094323947742,33.069595040144115,-4.378805123072116,1.2489026850914797e-05,a,True
