truncation_lag_h,dm_stat,p_value,significant_at_05
0,-6.318215711851062,3.1892510854447664e-10,True
5,-4.675398592886009,3.1104550928251484e-06,True
14,-3.7845756855293313,0.00015806316906763485,True
30,-3.183646561642599,0.0014745242456013496,True
60,-2.771258570009602,0.005630702149668876,True
