rival,model_rmse,rival_rmse,margin,folds_model_better,n_folds,paired_t,paired_p,loco_subsets_model_leads,margin_over_seed_sd
idw_k5_p2,28.007900818977898,29.436906539096814,1.4290057201189157,4,6,-0.5816574718678769,0.5860337540366575,5,4.1385418666813285
ordinary_kriging,28.007900818977898,29.74740022146055,1.7394994024826502,3,6,-0.6129945157382675,0.5666870628021695,5,5.037762272667833
train_global_median,28.007900818977898,30.98507511191725,2.9771742929393525,5,6,-2.047469246606134,0.09595155594733921,6,8.622191137703478
train_global_mean,28.007900818977898,32.69830779936777,4.69040698038987,5,6,-1.9982106881326451,0.10217269063187247,6,13.583882406364676
training_pool_mean,28.007900818977898,32.749814518855736,4.741913699877838,5,6,-2.002163457232313,0.10165824446151797,6,13.733050959027032
nearest_monitor,28.007900818977898,33.5010424618086,5.493141642830704,4,6,-1.1414396864602332,0.3053882349341883,6,15.908681363832278
