fold,instrument_grade,n,rmse,mae,bias,median_bias,r2,cams_rmse,beats_cams,obs_mean,obs_sd,exceed_rate
Almaty,reference,345,15.304435360849517,9.500831378930041,4.937513597507043,2.7299542717355862,0.5172635508140663,23.245090143162837,True,24.20414487934526,22.059343930206474,0.4608695652173913
Bishkek,reference,334,20.20762934747506,17.53389661242507,14.396888764929995,14.42202356263368,-0.5487302484480678,20.02889388257049,False,12.416096033363447,16.26217362952782,0.23652694610778444
Ashgabat,reference,263,20.738650138276853,13.615166369959878,2.12588284345724,4.625726659366652,-0.24660056885856707,18.831754385843258,False,26.738827026374555,18.60990059372027,0.7376425855513308
Tashkent,reference,337,25.461246156940494,15.18092704508822,-7.521544058012819,-0.3574805314583287,0.32343559139802613,28.62907610305213,True,34.545591611680706,31.00062099764623,0.6884272997032641
Khujand,low-cost,592,38.80709242629791,22.275799857741198,-14.345768306063762,-0.30299166978576153,0.12750684235223309,39.901334913920735,True,40.33726918892558,41.58121765954541,0.6706081081081081
Dushanbe,reference,343,46.93809944916609,28.2821142236302,-25.276080734933636,-13.979372357423848,-0.3410435524038864,47.95555989277336,True,47.64306749773522,40.59177723957247,0.8833819241982507
