fold,n,rmse_lgbm,rmse_cams,p,p_holm,sig_holm_05
Almaty,345,15.304435360849515,23.24509014316284,6.014920659347389e-05,0.00036089523956084335,True
Tashkent,337,25.461246156940497,28.62907610305213,0.0050385012548401,0.025192506274200503,True
Dushanbe,343,46.93809944916609,47.95555989277336,0.0084894101358243,0.0339576405432972,True
Khujand,592,38.80709242629791,39.901334913920735,0.0429967103596067,0.1289901310788201,False
Ashgabat,263,20.738650138276853,18.831754385843254,0.2420070527823605,0.484014105564721,False
Bishkek,334,20.20762934747506,20.028893882570493,0.8804689581004626,0.8804689581004626,False
