station_id,city,horizon_h,model_a,model_b,truncation_lag,dm_stat,p_value,n,horizon_hours,mean_loss_diff,better,significant_at_05
8684,Dushanbe,48,climatology_mean,persistence,48,-3.846545943133258,0.00012071516378187042,8087,48,-1038.4845662553873,a,True
8684,Dushanbe,48,climatology_mean,same_hour_mean_7d,48,-0.4454176511876427,0.6560296840055142,8224,48,-64.26447540299334,a,False
8684,Dushanbe,48,diurnal_persistence,persistence,48,0.0,1.0,8087,48,0.0,tie,False
8684,Dushanbe,48,diurnal_persistence,same_hour_mean_7d,48,3.5144097267608863,0.0004431438483343264,8087,48,970.5988541925157,b,True
8684,Dushanbe,48,persistence,same_hour_mean_7d,48,3.5144097267608863,0.0004431438483343264,8087,48,970.5988541925157,b,True
8684,Dushanbe,72,climatology_mean,diurnal_persistence,72,-3.7086840172719477,0.0002097428170411142,8037,72,-1013.9696430441962,a,True
8684,Dushanbe,72,climatology_mean,persistence,72,-3.7086840172719477,0.0002097428170411142,8037,72,-1013.9696430441962,a,True
8684,Dushanbe,72,climatology_mean,same_hour_mean_7d,72,-1.0969152636530741,0.27271065084204427,8200,72,-185.01449392790983,a,False
8684,Dushanbe,72,diurnal_persistence,persistence,72,0.0,1.0,8037,72,0.0,tie,False
8684,Dushanbe,72,diurnal_persistence,same_hour_mean_7d,72,3.126448000677174,0.001775630189353894,8037,72,825.3320698092184,b,True
8684,Dushanbe,72,persistence,same_hour_mean_7d,72,3.126448000677174,0.001775630189353894,8037,72,825.3320698092184,b,True
8881,Tashkent,24,climatology_mean,diurnal_persistence,24,-0.49222849698615667,0.6225722459553436,7492,24,-55.584609567926044,a,False
8881,Tashkent,24,climatology_mean,persistence,24,-0.49222849698615667,0.6225722459553436,7492,24,-55.584609567926044,a,False
8881,Tashkent,24,climatology_mean,same_hour_mean_7d,24,1.5688957047781797,0.11671240457881837,7879,24,121.70230055573043,b,False
8881,Tashkent,24,diurnal_persistence,persistence,24,0.0,1.0,7492,24,0.0,tie,False
8881,Tashkent,24,diurnal_persistence,same_hour_mean_7d,24,2.3327938726462967,0.019685306995330443,7492,24,198.4774835009195,b,True
8881,Tashkent,24,persistence,same_hour_mean_7d,24,2.3327938726462967,0.019685306995330443,7492,24,198.4774835009195,b,True
8881,Tashkent,48,climatology_mean,diurnal_persistence,48,-2.971813801711387,0.0029699962264964075,7394,48,-571.2694462265567,a,True
8881,Tashkent,48,climatology_mean,persistence,48,-2.971813801711387,0.0029699962264964075,7394,48,-571.2694462265567,a,True
8881,Tashkent,48,climatology_mean,same_hour_mean_7d,48,0.18199013064492064,0.8555951642408506,7861,48,17.01354663924129,b,False
8881,Tashkent,48,diurnal_persistence,persistence,48,0.0,1.0,7394,48,0.0,tie,False
8881,Tashkent,48,diurnal_persistence,same_hour_mean_7d,48,3.7565101747430294,0.0001736237028577836,7394,48,635.4521650743969,b,True
8881,Tashkent,48,persistence,same_hour_mean_7d,48,3.7565101747430294,0.0001736237028577836,7394,48,635.4521650743969,b,True
8881,Tashkent,72,climatology_mean,diurnal_persistence,72,-3.6674370521087165,0.00024672535739878043,7347,72,-765.309289272308,a,True
8881,Tashkent,72,climatology_mean,persistence,72,-3.6674370521087165,0.00024672535739878043,7347,72,-765.309289272308,a,True
8881,Tashkent,72,climatology_mean,same_hour_mean_7d,72,-0.49490798336656977,0.6206789509898141,7837,72,-51.35348103957013,a,False
8881,Tashkent,72,diurnal_persistence,persistence,72,0.0,1.0,7347,72,0.0,tie,False
8881,Tashkent,72,diurnal_persistence,same_hour_mean_7d,72,4.162609207619441,3.1822507748913154e-05,7347,72,751.3183321921391,b,True
8881,Tashkent,72,persistence,same_hour_mean_7d,72,4.162609207619441,3.1822507748913154e-05,7347,72,751.3183321921391,b,True
Bishkek,Bishkek,24,climatology_mean,diurnal_persistence,24,3.282419761550094,0.0010339523446039056,7437,24,534.1695002740997,b,True
Bishkek,Bishkek,24,climatology_mean,persistence,24,3.282419761550094,0.0010339523446039056,7437,24,534.1695002740997,b,True
Bishkek,Bishkek,24,climatology_mean,same_hour_mean_7d,24,7.971830628079458,1.7763568394002505e-15,7876,24,968.2101032179643,b,True
Bishkek,Bishkek,24,diurnal_persistence,persistence,24,0.0,1.0,7437,24,0.0,tie,False
Bishkek,Bishkek,24,diurnal_persistence,same_hour_mean_7d,24,4.002004195977573,6.34181869754169e-05,7437,24,455.9689299575999,b,True
Bishkek,Bishkek,24,persistence,same_hour_mean_7d,24,4.002004195977573,6.34181869754169e-05,7437,24,455.9689299575999,b,True
Bishkek,Bishkek,48,climatology_mean,diurnal_persistence,48,2.6602748891493513,0.007824609447257824,7365,48,505.96475821988315,b,True
Bishkek,Bishkek,48,climatology_mean,persistence,48,2.6602748891493513,0.007824609447257824,7365,48,505.96475821988315,b,True
Bishkek,Bishkek,48,climatology_mean,same_hour_mean_7d,48,6.246518860978521,4.4154968570353503e-10,7856,48,949.9597822115045,b,True
Bishkek,Bishkek,48,diurnal_persistence,persistence,48,0.0,1.0,7365,48,0.0,tie,False
Bishkek,Bishkek,48,diurnal_persistence,same_hour_mean_7d,48,3.4801564489145256,0.0005040239794082968,7365,48,488.59221510217935,b,True
Bishkek,Bishkek,48,persistence,same_hour_mean_7d,48,3.4801564489145256,0.0005040239794082968,7365,48,488.59221510217935,b,True
Bishkek,Bishkek,72,climatology_mean,diurnal_persistence,72,1.7579422435299585,0.07879925321510628,7299,72,392.44097353310315,b,False
Bishkek,Bishkek,72,climatology_mean,persistence,72,1.7579422435299585,0.07879925321510628,7299,72,392.44097353310315,b,False
Bishkek,Bishkek,72,climatology_mean,same_hour_mean_7d,72,5.439498922912713,5.50417935674119e-08,7840,72,945.318889764694,b,True
Bishkek,Bishkek,72,diurnal_persistence,persistence,72,0.0,1.0,7299,72,0.0,tie,False
Bishkek,Bishkek,72,diurnal_persistence,same_hour_mean_7d,72,3.6382413212861757,0.00027640124931438415,7299,72,587.4497268594555,b,True
Bishkek,Bishkek,72,persistence,same_hour_mean_7d,72,3.6382413212861757,0.00027640124931438415,7299,72,587.4497268594555,b,True
Ashgabat,Ashgabat,24,climatology_mean,diurnal_persistence,24,-2.314426928553799,0.020676529644163555,6259,24,-465.7669997580113,a,True
Ashgabat,Ashgabat,24,climatology_mean,persistence,24,-2.314426928553799,0.020676529644163555,6259,24,-465.7669997580113,a,True
Ashgabat,Ashgabat,24,climatology_mean,same_hour_mean_7d,24,-1.2067202969809,0.22758503798629826,6322,24,-56.816460996136925,a,False
Ashgabat,Ashgabat,24,diurnal_persistence,persistence,24,0.0,1.0,6259,24,0.0,tie,False
Ashgabat,Ashgabat,24,diurnal_persistence,same_hour_mean_7d,24,2.1237759808403682,0.033727997636879614,6259,24,410.3970475440536,b,True
Ashgabat,Ashgabat,24,persistence,same_hour_mean_7d,24,2.1237759808403682,0.033727997636879614,6259,24,410.3970475440536,b,True
Ashgabat,Ashgabat,48,climatology_mean,diurnal_persistence,48,-2.763773583554127,0.005730752662725269,6140,48,-651.4895262928954,a,True
Ashgabat,Ashgabat,48,climatology_mean,persistence,48,-2.763773583554127,0.005730752662725269,6140,48,-651.4895262928954,a,True
Ashgabat,Ashgabat,48,climatology_mean,same_hour_mean_7d,48,-1.917087810861415,0.055272317627246936,6251,48,-119.38833352014032,a,False
Ashgabat,Ashgabat,48,diurnal_persistence,persistence,48,0.0,1.0,6140,48,0.0,tie,False
Ashgabat,Ashgabat,48,diurnal_persistence,same_hour_mean_7d,48,2.4699002135446433,0.013542065618261656,6140,48,526.5244734400275,b,True
Ashgabat,Ashgabat,48,persistence,same_hour_mean_7d,48,2.4699002135446433,0.013542065618261656,6140,48,526.5244734400275,b,True
Ashgabat,Ashgabat,72,climatology_mean,diurnal_persistence,72,-2.802406803815672,0.005088493157922036,6024,72,-728.3748509192278,a,True
Ashgabat,Ashgabat,72,climatology_mean,persistence,72,-2.802406803815672,0.005088493157922036,6024,72,-728.3748509192278,a,True
Ashgabat,Ashgabat,72,climatology_mean,same_hour_mean_7d,72,-2.0645126954628252,0.03901077381194251,6179,72,-150.49544466188476,a,True
Ashgabat,Ashgabat,72,diurnal_persistence,persistence,72,0.0,1.0,6024,72,0.0,tie,False
Ashgabat,Ashgabat,72,diurnal_persistence,same_hour_mean_7d,72,2.5046963932801654,0.012281864575262702,6024,72,562.0594184006604,b,True
Ashgabat,Ashgabat,72,persistence,same_hour_mean_7d,72,2.5046963932801654,0.012281864575262702,6024,72,562.0594184006604,b,True
