held_out_city,model_a,model_b,truncation_lag_h,dm_stat,p_value,significant_at_05
Bishkek,idw_k5_p2,training_pool_mean,0,-11.642592014589288,0.0,True
Bishkek,idw_k5_p2,training_pool_mean,24,-4.4076978225967585,1.0585620696446085e-05,True
Bishkek,idw_k5_p2,training_pool_mean,48,-3.7329870810468355,0.00019055156910918747,True
Bishkek,idw_k5_p2,training_pool_mean,168,-2.4512709639262797,0.014256786690892032,True
Bishkek,idw_k5_p2,training_pool_mean,336,-1.8218018889522092,0.068522851055141,False
Bishkek,nearest_monitor,ordinary_kriging,0,-7.654048007197235,2.1760371282653068e-14,True
Bishkek,nearest_monitor,ordinary_kriging,24,-3.456302527978584,0.000550522519550567,True
Bishkek,nearest_monitor,ordinary_kriging,48,-3.017414637140996,0.002557532151957753,True
Bishkek,nearest_monitor,ordinary_kriging,168,-2.2975413585146827,0.021613924042671817,True
Bishkek,nearest_monitor,ordinary_kriging,336,-1.8066034695330782,0.07086216865880535,False
Bishkek,nearest_monitor,training_pool_mean,0,-10.356239523472821,0.0,True
Bishkek,nearest_monitor,training_pool_mean,24,-4.246759693781577,2.1937039112351897e-05,True
Bishkek,nearest_monitor,training_pool_mean,48,-3.658908284623421,0.00025494202331555194,True
Bishkek,nearest_monitor,training_pool_mean,168,-2.5585252124373756,0.010530200247367949,True
Bishkek,nearest_monitor,training_pool_mean,336,-1.9022126969783748,0.05717969031052572,False
Bishkek,ordinary_kriging,training_pool_mean,0,-5.863676514668049,4.709476364439524e-09,True
Bishkek,ordinary_kriging,training_pool_mean,24,-2.1936530378674055,0.02828939791859586,True
Bishkek,ordinary_kriging,training_pool_mean,48,-1.802839293312153,0.07145155538107328,False
Bishkek,ordinary_kriging,training_pool_mean,168,-1.1647841808182318,0.24414153914568448,False
Bishkek,ordinary_kriging,training_pool_mean,336,-0.8629932575659268,0.3881673749343446,False
Dushanbe,idw_k5_p2,nearest_monitor,0,-8.659770620189406,0.0,True
Dushanbe,idw_k5_p2,nearest_monitor,24,-3.7516211329300386,0.00017689575614387998,True
Dushanbe,idw_k5_p2,nearest_monitor,48,-3.5106389043160617,0.0004494126770961948,True
Dushanbe,idw_k5_p2,nearest_monitor,168,-2.963911691344151,0.0030462135188962236,True
Dushanbe,idw_k5_p2,nearest_monitor,336,-2.5010756511731738,0.012400854870129985,True
Dushanbe,idw_k5_p2,ordinary_kriging,0,5.206135036217932,1.9745222190614697e-07,True
Dushanbe,idw_k5_p2,ordinary_kriging,24,1.6902546310784219,0.09101693289196411,False
Dushanbe,idw_k5_p2,ordinary_kriging,48,1.3360625127083177,0.18156559932597283,False
Dushanbe,idw_k5_p2,ordinary_kriging,168,0.9935554620237748,0.32046840168751545,False
Dushanbe,idw_k5_p2,ordinary_kriging,336,1.0560881770774786,0.2909587771965687,False
Dushanbe,idw_k5_p2,training_pool_mean,0,3.0012138092590597,0.0026970804581540886,True
Dushanbe,idw_k5_p2,training_pool_mean,24,0.8822362984559562,0.37767467513115704,False
Dushanbe,idw_k5_p2,training_pool_mean,48,0.7085541058219182,0.4786211937144602,False
Dushanbe,idw_k5_p2,training_pool_mean,168,0.5368588254957061,0.5913795745168646,False
Dushanbe,idw_k5_p2,training_pool_mean,336,0.4768217206246351,0.6335016744986783,False
Dushanbe,nearest_monitor,ordinary_kriging,0,9.649659978063028,0.0,True
Dushanbe,nearest_monitor,ordinary_kriging,24,3.541971385597011,0.000399335801056111,True
Dushanbe,nearest_monitor,ordinary_kriging,48,2.923628853425849,0.0034691531765687067,True
Dushanbe,nearest_monitor,ordinary_kriging,168,2.1970142719884787,0.028047064754586293,True
Dushanbe,nearest_monitor,ordinary_kriging,336,2.3197365951143087,0.020379354241479852,True
Dushanbe,nearest_monitor,training_pool_mean,0,6.523485344778174,7.27280458079349e-11,True
Dushanbe,nearest_monitor,training_pool_mean,24,1.9655808404217419,0.049380455759278075,True
Dushanbe,nearest_monitor,training_pool_mean,48,1.5971470912764658,0.11027112465565292,False
Dushanbe,nearest_monitor,training_pool_mean,168,1.2313342611271971,0.21823288280771713,False
Dushanbe,nearest_monitor,training_pool_mean,336,1.1509142262287533,0.24980079552193124,False
Dushanbe,ordinary_kriging,training_pool_mean,0,0.3036889218145239,0.7613725376397364,False
Dushanbe,ordinary_kriging,training_pool_mean,24,0.08319191628438109,0.933700953539959,False
Dushanbe,ordinary_kriging,training_pool_mean,48,0.0661685129783259,0.9472452640602513,False
Dushanbe,ordinary_kriging,training_pool_mean,168,0.047447754056053906,0.9621575151829291,False
Dushanbe,ordinary_kriging,training_pool_mean,336,0.03814495505376081,0.9695730290172113,False
